! 16C energy loss (dE/dX) in H
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
350.000000	0.0602102 	350.000000	0.241118  	350.000000	0.240633  	350.000000	0.239545  	350.000000	0.24062   	350.000000	0.241011  	350.000000	0.000106903	
360.000000	0.0593224 	360.000000	0.237499  	360.000000	0.237111  	360.000000	0.236036  	360.000000	0.237104  	360.000000	0.237395  	360.000000	0.000104151	
370.000000	0.0584813 	370.000000	0.234076  	370.000000	0.233775  	370.000000	0.232719  	370.000000	0.23378   	370.000000	0.233975  	370.000000	0.000101541	
380.000000	0.0576834 	380.000000	0.230834  	380.000000	0.230627  	380.000000	0.22958   	380.000000	0.230635  	380.000000	0.230735  	380.000000	9.90641e-05	
390.000000	0.0569255 	390.000000	0.227759  	390.000000	0.227651  	390.000000	0.226606  	390.000000	0.227654  	390.000000	0.227663  	390.000000	9.67088e-05	
400.000000	0.0562047 	400.000000	0.22484   	400.000000	0.224826  	400.000000	0.223785  	400.000000	0.224827  	400.000000	0.224745  	400.000000	9.44667e-05	
410.000000	0.0555186 	410.000000	0.222064  	410.000000	0.222142  	410.000000	0.221105  	410.000000	0.222141  	410.000000	0.221972  	410.000000	9.23298e-05	
420.000000	0.0548646 	420.000000	0.219423  	420.000000	0.219589  	420.000000	0.218556  	420.000000	0.219587  	420.000000	0.219333  	420.000000	9.02907e-05	
430.000000	0.0542406 	430.000000	0.216907  	430.000000	0.21716   	430.000000	0.216131  	430.000000	0.217156  	430.000000	0.216818  	430.000000	8.83428e-05	
440.000000	0.0536448 	440.000000	0.214508  	440.000000	0.214847  	440.000000	0.21382   	440.000000	0.214839  	440.000000	0.214421  	440.000000	8.648e-05 	
450.000000	0.0530753 	450.000000	0.212218  	450.000000	0.212639  	450.000000	0.211615  	450.000000	0.212629  	450.000000	0.212133  	450.000000	8.46968e-05	
460.000000	0.0525304 	460.000000	0.21003   	460.000000	0.210525  	460.000000	0.209511  	460.000000	0.21052   	460.000000	0.209947  	460.000000	8.29882e-05	
470.000000	0.0520088 	470.000000	0.207938  	470.000000	0.208502  	470.000000	0.207501  	470.000000	0.208505  	470.000000	0.207857  	470.000000	8.13494e-05	
480.000000	0.0515089 	480.000000	0.205937  	480.000000	0.20657   	480.000000	0.205578  	480.000000	0.206578  	480.000000	0.205857  	480.000000	7.97764e-05	
490.000000	0.0510296 	490.000000	0.204021  	490.000000	0.204727  	490.000000	0.203738  	490.000000	0.204733  	490.000000	0.203943  	490.000000	7.82651e-05	
500.000000	0.0505696 	500.000000	0.202184  	500.000000	0.202964  	500.000000	0.201976  	500.000000	0.202967  	500.000000	0.202107  	500.000000	7.68119e-05	
520.000000	0.0497034 	520.000000	0.198733  	520.000000	0.19965   	520.000000	0.198668  	520.000000	0.19965   	520.000000	0.198659  	520.000000	7.40669e-05	
540.000000	0.0489025 	540.000000	0.195551  	540.000000	0.196599  	540.000000	0.195621  	540.000000	0.196595  	540.000000	0.19548   	540.000000	7.15176e-05	
560.000000	0.0481604 	560.000000	0.192611  	560.000000	0.193779  	560.000000	0.192807  	560.000000	0.193774  	560.000000	0.192541  	560.000000	6.91437e-05	
580.000000	0.0474713 	580.000000	0.189887  	580.000000	0.191163  	580.000000	0.190203  	580.000000	0.191163  	580.000000	0.18982   	580.000000	6.69273e-05	
600.000000	0.04683   	600.000000	0.187359  	600.000000	0.188736  	600.000000	0.187787  	600.000000	0.188741  	600.000000	0.187294  	600.000000	6.48532e-05	
620.000000	0.0462322 	620.000000	0.185008  	620.000000	0.186485  	620.000000	0.185542  	620.000000	0.186489  	620.000000	0.184945  	620.000000	6.29079e-05	
640.000000	0.045674  	640.000000	0.182819  	640.000000	0.18439   	640.000000	0.183452  	640.000000	0.184393  	640.000000	0.182758  	640.000000	6.10797e-05	
660.000000	0.0451519 	660.000000	0.180777  	660.000000	0.182437  	660.000000	0.181502  	660.000000	0.182438  	660.000000	0.180717  	660.000000	5.93582e-05	
680.000000	0.044663  	680.000000	0.178869  	680.000000	0.180612  	680.000000	0.17968   	680.000000	0.18061   	680.000000	0.178811  	680.000000	5.77342e-05	
700.000000	0.0442046 	700.000000	0.177084  	700.000000	0.178905  	700.000000	0.177975  	700.000000	0.178901  	700.000000	0.177027  	700.000000	5.61996e-05	
720.000000	0.0437742 	720.000000	0.175412  	720.000000	0.177306  	720.000000	0.176378  	720.000000	0.177299  	720.000000	0.175357  	720.000000	5.4747e-05	
740.000000	0.0433697 	740.000000	0.173844  	740.000000	0.175802  	740.000000	0.17488   	740.000000	0.175796  	740.000000	0.173791  	740.000000	5.33701e-05	
760.000000	0.0429891 	760.000000	0.172373  	760.000000	0.174385  	760.000000	0.173472  	760.000000	0.174384  	760.000000	0.172321  	760.000000	5.2063e-05	
780.000000	0.0426307 	780.000000	0.17099   	780.000000	0.173051  	780.000000	0.172148  	780.000000	0.173055  	780.000000	0.170939  	780.000000	5.08205e-05	
800.000000	0.0422929 	800.000000	0.16969   	800.000000	0.171799  	800.000000	0.170901  	800.000000	0.171804  	800.000000	0.16964   	800.000000	4.96378e-05	
820.000000	0.0419743 	820.000000	0.168467  	820.000000	0.170622  	820.000000	0.169725  	820.000000	0.170625  	820.000000	0.168418  	820.000000	4.85107e-05	
840.000000	0.0416736 	840.000000	0.167314  	840.000000	0.169512  	840.000000	0.168617  	840.000000	0.169513  	840.000000	0.167267  	840.000000	4.74353e-05	
